Bài 4 - Điểm trung bình theo nhóm tuổi
======================================
MovieID | Title | AgeGroup | AvgRating | TotalRatings
-----------------------------------------------------
1020 | E.T. the Extra-Terrestrial (1982) | 18-24 | 3.5 | 2
1020 | E.T. the Extra-Terrestrial (1982) | 25-34 | 3.58 | 6
1020 | E.T. the Extra-Terrestrial (1982) | 35-44 | 3.81 | 8
1020 | E.T. the Extra-Terrestrial (1982) | 45-49 | 4.0 | 1
1020 | E.T. the Extra-Terrestrial (1982) | 56+ | 3.0 | 1
1028 | Fight Club (1999) | 25-34 | 3.5 | 3
1028 | Fight Club (1999) | 35-44 | 3.5 | 2
1028 | Fight Club (1999) | 50-55 | 3.5 | 2
1040 | Gladiator (2000) | 18-24 | 3.5 | 1
1040 | Gladiator (2000) | 25-34 | 3.42 | 6
1040 | Gladiator (2000) | 35-44 | 3.75 | 6
1040 | Gladiator (2000) | 45-49 | 4.0 | 2
1040 | Gladiator (2000) | 50-55 | 3.75 | 2
1040 | Gladiator (2000) | 56+ | 3.0 | 1
1010 | Lawrence of Arabia (1962) | 25-34 | 3.6 | 5
1010 | Lawrence of Arabia (1962) | 35-44 | 3.28 | 9
1010 | Lawrence of Arabia (1962) | 45-49 | 3.5 | 2
1010 | Lawrence of Arabia (1962) | 50-55 | 3.75 | 2
1050 | Mad Max: Fury Road (2015) | 18-24 | 3.0 | 1
1050 | Mad Max: Fury Road (2015) | 25-34 | 3.4 | 10
1050 | Mad Max: Fury Road (2015) | 35-44 | 3.64 | 7
1043 | No Country for Old Men (2007) | 18-24 | 3.5 | 1
1043 | No Country for Old Men (2007) | 25-34 | 3.83 | 6
1043 | No Country for Old Men (2007) | 35-44 | 3.75 | 6
1043 | No Country for Old Men (2007) | 45-49 | 4.25 | 2
1043 | No Country for Old Men (2007) | 50-55 | 4.5 | 2
1043 | No Country for Old Men (2007) | 56+ | 3.5 | 1
1012 | Psycho (1960) | 25-34 | 4.5 | 1
1012 | Psycho (1960) | 35-44 | 3.5 | 1
1015 | Sunset Boulevard (1950) | 18-24 | 4.5 | 1
